Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Difference,Amount Differences
2012110498331,2012-09-24 00:00:00,2012-07-30 07:00:00,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checkpoint,,0.0,Deny,,,55.0,
2009102264652,2009-10-13 00:00:00,2009-09-05 00:00:00,SEA,Seattle-Tacoma International,Jet Blue,Passenger Property Loss,Checked Baggage,Locks,8.3,Denied,0.0,Deny,38.0,8.3
2011081686168,2011-08-01 00:00:00,2011-07-29 07:30:00,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,,,,,2.0,
2014112818733,2014-11-25 00:00:00,2014-11-23 00:00:00,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,,,,,2.0,
2006022201943,2006-02-15 00:00:00,2006-02-09 00:00:00,,,,Property Damage,Checked Baggage,Luggage (all types including footlockers),495.0,Insufficient; one of the following items required: sum certain; statement of fact; signature; location of incident; and date.,,,6.0,
2014081515918,2014-07-28 00:00:00,2014-07-25 00:00:00,PIT,Pittsburgh International Airport,USAir  ,Property Damage,Checked Baggage,Household Items,20.0,Approve in Full,,,3.0,
2009071561266,2009-07-09 00:00:00,2009-07-06 00:00:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop; Locks,,Insufficient; one of the following items required: sum certain; statement of fact; signature; location of incident; and date.,,,3.0,
1001066M,2003-10-01 00:00:00,2003-09-17 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),16.99,Approved,16.99,Approve in Full,14.0,0.0
2010120978673,2010-12-03 00:00:00,2010-11-30 00:00:00,TPA,Tampa International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny,,,3.0,
2010040770508,2010-04-01 00:00:00,2010-03-02 16:00:00,MIA,Miami International Airport,TAM airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing,65.0,Settle,,,29.0,
0114204M,2004-01-14 00:00:00,2004-12-22 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,,Checked Baggage,Other,47.91,Settled,23.96,Settle,-343.0,23.949999999999996
2005032379553,2005-03-07 00:00:00,2005-02-12 00:00:00,SFO,San Francisco International,UAL,Passenger Property Loss,Checked Baggage,Other,2250.0,Closed as a contractor claim,0.0,,23.0,2250.0
0129051M,2004-01-29 00:00:00,2003-12-23 00:00:00,LAX,Los Angeles International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,50.0,Settled,25.0,Settle,37.0,25.0
2012041092747,2012-03-12 00:00:00,2011-10-27 00:00:00,ELP,El Paso International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,20.0,Approve in Full,,,137.0,
2007091431991,2007-09-10 00:00:00,2007-08-12 00:00:00,OAK,Metropolitan Oakland International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,80.0,Denied,0.0,Deny,29.0,80.0
2013022101766,2013-01-29 00:00:00,2012-11-23 07:45:00,TUL,Tulsa International Airport,,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,30.99,Approve in Full,,,66.0,
2007091331780,2007-09-07 00:00:00,2007-08-20 00:00:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Passenger Property Loss,Checkpoint,Watches - Expensive more than $100,18250.0,Settled,9000.0,Settle,18.0,9250.0
2012082996360,2012-08-02 00:00:00,2012-06-24 00:00:00,CMH,Port Columbus International,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,Deny,,,39.0,
0127010L,2003-01-27 00:00:00,2002-12-24 00:00:00,MCI,Kansas City International,,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,125.0,Settled,40.0,Settle,34.0,85.0
2005010572784,2004-12-16 00:00:00,2004-09-25 00:00:00,DAL,Dallas Love Field,,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,129.26,Settled,86.38,Settle,82.0,42.879999999999995
2012112098774,2012-10-15 00:00:00,2012-09-12 00:00:00,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,0.0,Deny,,,33.0,
2006112716235,2006-11-20 00:00:00,2006-11-05 00:00:00,EWR,Newark International Airport,UAL,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Dental Equipment and Instruments; Medicines; Razors (other than electric),463.21,Canceled,0.0,,15.0,463.21
2011100387351,2011-09-08 00:00:00,2011-08-12 00:00:00,JAX,Jacksonville International,,Passenger Property Loss,Checkpoint,Clothing,35.0,Approve in Full,,,27.0,
2004091362756,2004-08-25 00:00:00,2004-08-14 00:00:00,JFK,John F. Kennedy International,,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.0,Denied,0.0,Deny,11.0,200.0
1106128M,2003-11-06 00:00:00,2003-10-24 00:00:00,FLL,Ft. Lauderdale-Hollywood International,,,Checkpoint,Clothing - Shoes; belts; accessories; etc.,75.0,Denied,0.0,Deny,13.0,75.0
2005121697935,2005-12-06 00:00:00,2005-09-23 00:00:00,MEM,Memphis International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,12.0,Denied,0.0,Deny,74.0,12.0
2009112365626,2009-11-16 00:00:00,2009-11-05 10:40:00,SAT,San Antonio International,Delta Air Lines,Passenger Property Loss,,,20.29,Denied,0.0,Deny,10.0,20.29
2005081990947,2005-08-09 00:00:00,2005-07-31 00:00:00,GPT,Gulfport-Biloxi International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.59,Approved,10.59,Approve in Full,9.0,0.0
2013010899596,2012-11-13 00:00:00,2012-10-27 00:00:00,IFP,Laughlin/Bullhead International Airport,Allegiant Air,Passenger Property Loss,Checked Baggage,Travel Accessories,0.0,Deny,,,17.0,
0630021M,2003-06-30 00:00:00,2003-05-28 00:00:00,DSM,Des Moines International,America West,,Checked Baggage,Jewelry - Fine,81.0,Settled,45.5,Settle,33.0,35.5
2006082511555,2006-08-21 00:00:00,2006-07-29 00:00:00,LAS,McCarran International,USAir,Property Damage,Checked Baggage,Camping Equipment & Supplies,117.04,Approved,117.04,Approve in Full,23.0,0.0
2006010999178,2006-01-04 00:00:00,2005-12-19 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,239.68,Denied,0.0,Deny,16.0,239.68
2012060894656,2012-05-17 00:00:00,2012-02-03 06:00:00,PAH,Barkley Regional Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny,,,103.0,
2007013119988,2007-01-29 00:00:00,2007-01-08 00:00:00,PHL,Philadelphia International Airport,Delta Air Lines,Property Damage,Checked Baggage,Dolls - Decorator; Paintings and Pictures (including frames; etchings; photos; etc),115.0,Approved,115.0,Approve in Full,21.0,0.0
2004060254142,2004-03-18 00:00:00,2004-01-21 00:00:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),360.0,Denied,0.0,Deny,57.0,360.0
2006080110292,2006-07-28 00:00:00,2006-07-16 00:00:00,DCA,Ronald Reagan Washington National Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Locks,21.52,Approved,21.52,Approve in Full,12.0,0.0
2005080890149,2005-07-28 00:00:00,2005-07-14 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,,95.0,Denied,0.0,Deny,14.0,95.0
2004051251459,2004-03-24 00:00:00,2004-03-14 00:00:00,MHT,Manchester Regional Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,,Insufficient; one of the following items required: sum certain; statement of fact; signature; location of incident; and date.,,,10.0,
0311112L,2003-03-11 00:00:00,2003-02-18 00:00:00,SDF,Louisville International,,Property Damage,Checked Baggage,Other,25.0,Settled,12.5,Settle,21.0,12.5
2011020880015,2011-01-18 00:00:00,2011-01-11 00:00:00,SEA,Seattle-Tacoma International,UAL  ,Property Damage,Checked Baggage,Clothing,0.0,Deny,,,7.0,
2013011099849,2012-11-27 00:00:00,2012-11-07 10:00:00,HOU,William P. Hobby,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny,,,19.0,
2006012600440,2006-01-23 00:00:00,2006-01-02 00:00:00,RIC,Richmond International,AirTran Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,72.0,Denied,0.0,Deny,21.0,72.0
2015052122656,2015-05-21 00:00:00,2015-04-27 00:00:00,JFK,John F. Kennedy International,Qatar airlines,Property Damage,Checked Baggage,Other,,,,,24.0,
2006071409528,2006-07-13 00:00:00,2006-06-23 00:00:00,MCO,Orlando International Airport,,Passenger Property Loss,Checkpoint,Other,85.6,Approved,85.6,Approve in Full,20.0,0.0
2007092032336,2007-09-20 00:00:00,2007-08-24 00:00:00,SYR,Syracuse-Hancock International,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,340.0,Denied,0.0,Deny,27.0,340.0
2005102094924,2005-10-17 00:00:00,2005-09-28 00:00:00,OGG,Kahului-Maui; HI,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,206.14,Settled,103.07,Settle,19.0,103.07
2007091331786,2007-09-04 00:00:00,2007-07-28 00:00:00,SJU,Luis Munoz Marin International,,Passenger Property Loss,Checkpoint,Jewelry - Costume,28.0,Denied,0.0,Deny,38.0,28.0
2006012099885,2006-01-12 00:00:00,2005-12-17 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,584.15,Settled,292.07,Settle,26.0,292.08
2014042113391,2014-04-14 00:00:00,2014-04-05 00:00:00,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,0.0,Deny,,,9.0,
2009010554014,2008-12-22 00:00:00,2008-12-08 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,16.05,Denied,0.0,Deny,14.0,16.05
2004110266168,2004-09-23 00:00:00,2004-09-14 00:00:00,ALB,Albany International,,Property Damage,Checked Baggage,Jewelry - Fine,300.0,Canceled,0.0,,9.0,300.0
1119105M,2003-11-19 00:00:00,2003-11-14 00:00:00,,,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,8.65,Settled,5.0,Settle,5.0,3.6500000000000004
